,id,name,region
0,619e638ef8090ec74528dc29,AIPX Gaming,AF
1,619e5eedf8090ec74528db8e,ALFA One,AF
2,616dad97f8090ec74528870b,ARCHANGELS,AF
3,61607b65f8090ec74528706a,ATK,AF
4,616dad6bf8090ec745288707,Aces!,AF
5,61845f1df8090ec74528af0f,Anarchy Gaming,AF
6,616dacd0f8090ec745288706,Atomic Esports,AF
7,60c467b0490bd8649dd30e50,Aufbau,AF
8,619e5edcf8090ec74528db8c,Ballchasers,AF
9,61e56443c437fde7e02ccb7a,Barney and his Dinosaurs,AF
10,616dad17143c37878b239df7,Benchwarmers,AF
11,61800d6e143c37878b23bcf9,Biju E-sport,AF
12,61f91315c437fde7e02cf01b,Bot Gaming,AF
13,61845f24f8090ec74528af10,Bravado Gaming,AF
14,616dad88f8090ec745288709,Bruhfana Bruhfana,AF
15,61f9135eda9d7ca1c7ba7533,CARZ,AF
16,616dad80143c37878b239dff,CheekClappers,AF
17,616dacb6f8090ec745288705,Clap'em Junction,AF
18,61800d4b143c37878b23bcf5,Crimson,AF
19,621ca1eada9d7ca1c7ba9577,Cryptic,AF
20,619e6385f8090ec74528dc28,DNMK Esports,AF
21,61800d15f8090ec74528a5a3,DWYM,AF
22,61800d02f8090ec74528a5a1,Dapper Dogs,AF
23,619e5eb2f8090ec74528db8a,Digital Devils,AF
24,616dad55143c37878b239dfd,Estya,AF
25,61e56415c437fde7e02ccb76,Evolved Gaming,AF
26,616dacf8143c37878b239df4,Exotic Esports,AF
27,60bb487abd0db240d7a31f4b,Expandas,AF
28,616dad29143c37878b239df8,Expanzees,AF
29,616dad3d143c37878b239dfa,Fast & Serious,AF
30,616dad0d143c37878b239df6,Ghosts,AF
31,61e56468c437fde7e02ccb7e,Havoc Gaming,AF
32,61f9134bda9d7ca1c7ba7532,Hope,AF
33,60bb48dbbd0db240d7a31f50,Inferno,AF
34,61e56476c437fde7e02ccb7f,Kitsune,AF
35,616dad4d143c37878b239dfc,Loadshedding,AF
36,616dadaff8090ec74528870d,Looking For Sponsors,AF
37,619e5f03f8090ec74528db8f,Looking for toes,AF
38,616dacee143c37878b239df3,Lost Legion Giants,AF
39,6183bef2f8090ec74528ab30,MILS Esports,AF
40,60c46798490bd8649dd30e4e,MIST esports,AF
41,616dada5143c37878b239e00,MLGC Tyrants,AF
42,61e56428c437fde7e02ccb78,Meraki Gaming,AF
43,61e56481c437fde7e02ccb80,NO FEAR,AF
44,61e5644ac437fde7e02ccb7b,OFA,AF
45,616dacc5143c37878b239df1,Orgless,AF
46,616dace3143c37878b239df2,Out of Retirement,AF
47,61e5641bc437fde7e02ccb77,PWB,AF
48,60bb483e6d9c1362119ca7cd,Pirates Exdee,AF
49,616dad73f8090ec745288708,Post Flip Gang,AF
50,619e5ec9f8090ec74528db8b,Rocket Squad,AF
51,61b9a492da9d7ca1c7ba39b0,Royalty Esports,AF
52,61800d25143c37878b23bcf4,SLIM TYGER,AF
53,619e5ee4f8090ec74528db8d,SLIM_OFA,AF
54,616dad35143c37878b239df9,ST Gaming,AF
55,61800d5c143c37878b23bcf7,Slapsqueeze,AF
56,61e56452c437fde7e02ccb7c,Suzaku,AF
57,61f91304c437fde7e02cf01a,Synergy Gaming,AF
58,61e5648ac437fde7e02ccb81,TKO Crimson,AF
59,616fe256f8090ec745288710,TKO X1,AF
60,61e5645fc437fde7e02ccb7d,TbK Esport,AF
61,61d966f9c437fde7e02cb5b8,Team Espionage,AF
62,61800d0df8090ec74528a5a2,Team FSN,AF
63,616dad45143c37878b239dfb,Team Tranquility,AF
64,61f9131ec437fde7e02cf01c,The Goats,AF
65,616dad5b143c37878b239dfe,Tier 1,AF
66,616dadb7f8090ec74528870e,Triple Committee FC,AF
67,61e5643ac437fde7e02ccb79,Unity,AF
68,616dacbc143c37878b239df0,Water,AF
69,616dad9ef8090ec74528870c,Wizards On Wheels,AF
70,616dad04143c37878b239df5,X1,AF
71,616dad90f8090ec74528870a,Xclusiv 1 Crimson,AF
72,621ca1f6da9d7ca1c7ba9578,Yankees With No Brim,AF
73,61800d66143c37878b23bcf8,win win,AF
74,6020bc71f1e4807cc7002514,1NE eSports,ASIA
75,616da4f1143c37878b239d48,2 tall cat,ASIA
76,607d7d99473f172e4c0d3972,Aloha,ASIA
77,61e54b6dc437fde7e02cc940,Alpha,ASIA
78,61e7d834c437fde7e02cce85,Aqua,ASIA
79,616063fb143c37878b2387af,Asia manji,ASIA
80,6193da9b143c37878b23dd7f,AtlasGaming,ASIA
81,6161a437143c37878b238956,Axios,ASIA
82,61508f0af8090ec745286778,Azure Esports,ASIA
83,6161a3a4143c37878b238950,BALL,ASIA
84,6194fde2143c37878b23e139,BBS hayabusa,ASIA
85,60bbc8976dcdb413cff64981,BLAST,ASIA
86,616da505143c37878b239d4a,BUHI BUHI TRAIN,ASIA
87,616da51e143c37878b239d4d,BlueBirds,ASIA
88,620a45fcc437fde7e02cff23,BoostBuster,ASIA
89,61895372f8090ec74528ba20,Broerm,ASIA
90,617949fd143c37878b23ad8c,CHEMICAL X,ASIA
91,60bbc89e6dcdb413cff64982,CVent,ASIA
92,61f90b08c437fde7e02ceeb2,Cat Atelier,ASIA
93,61daf03ec437fde7e02cb83e,Clovarity Esports,ASIA
94,615dbd94143c37878b2385b8,DN Enterprises,ASIA
95,6020c2cdf1e4807cc702b558,DanQuo,ASIA
96,61daf0b4c437fde7e02cb844,Dark Rift Esports,ASIA
97,60b63cfdfec4a0857e7ba00c,DeToNator,ASIA
98,60be06919fc1a47e5f111397,DeluxeDream,ASIA
99,61781f5ff8090ec74528947a,Disconnected Esports,ASIA
100,6161a442143c37878b238957,Disparity/Asian Warlords,ASIA
101,6161a460143c37878b23895a,Dothraki,ASIA
102,6161a3bc143c37878b238951,Elusive X,ASIA
103,617949ecf8090ec74528947c,Etern4l,ASIA
104,60c85c7167835678df01547f,Exodus,ASIA
105,616da46ff8090ec745288670,Extra GanDerS,ASIA
106,6194fdc6143c37878b23e136,Fall Mountain,ASIA
107,6160645b143c37878b2387b6,Flu Esports,ASIA
108,6189537af8090ec74528ba21,Friendly Fire Esports,ASIA
109,61917ff0143c37878b23d64e,Frost Esports,ASIA
110,61ee75adda9d7ca1c7ba5d9b,Ghidorah,ASIA
111,61f41829c437fde7e02ce386,God Speed,ASIA
112,616da4bcf8090ec745288676,Gokkies,ASIA
113,616da457143c37878b239d42,GracesBlaze Anima,ASIA
114,61e54b37c437fde7e02cc93e,GracesBlaze Aqua,ASIA
115,616da50d143c37878b239d4b,GracesBlaze Refine,ASIA
116,6180077ff8090ec74528a49d,GracesBlaze Refine,ASIA
117,61e54b75c437fde7e02cc941,Groovy,ASIA
118,6160644d143c37878b2387b5,Halal Men,ASIA
119,620a45e1c437fde7e02cff22,Heart Broken,ASIA
120,616da4d9143c37878b239d45,Hiems DandeLion,ASIA
121,6155d01af8090ec745286bcf,Hilltop Picnic,ASIA
122,61606426143c37878b2387b3,Hiraeth,ASIA
123,6020c077f1e4807cc701d716,Integrity,ASIA
124,6161a457143c37878b238959,J4F,ASIA
125,61718cab143c37878b239f49,KACHIAGE Island,ASIA
126,6194fdcf143c37878b23e137,KokeKoke Kickers,ASIA
127,620a4605c437fde7e02cff24,Kurobi,ASIA
128,616da4cd143c37878b239d44,LV0,ASIA
129,6020bc70f1e4807cc70023c9,Lucky Bounce,ASIA
130,60be16d69fc1a47e5f111475,MONARCH,ASIA
131,6194fdd7143c37878b23e138,MOTI MOTI GAMING,ASIA
132,61800775f8090ec74528a49c,Mandalorian,ASIA
133,61978219f8090ec74528d26c,Method2Madness,ASIA
134,61e54b7cc437fde7e02cc942,Mix Fresh,ASIA
135,61dc3c84c437fde7e02cbdea,Moonboots,ASIA
136,616da4b2f8090ec745288675,N Chiki,ASIA
137,616da477f8090ec745288671,NEXT FRONTIER,ASIA
138,607d7d99473f172e4c0d3970,NOR,ASIA
139,6180075f143c37878b23bc01,NOVEL FRONTIER,ASIA
140,61daf067c437fde7e02cb840,NSF,ASIA
141,618a34bbf8090ec74528bc3c,Night Raid Esports,ASIA
142,60705b5e3960ddb316ab6ca7,Nimmt55,ASIA
143,620a45c7c437fde7e02cff20,No Comms,ASIA
144,61e17394da9d7ca1c7ba44ec,Not Just Associates,ASIA
145,61daf070c437fde7e02cb841,OKAY LETSGO,ASIA
146,61917fb5143c37878b23d64d,Odyssey Esports,ASIA
147,616da515143c37878b239d4c,Okane,ASIA
148,620f4d1cda9d7ca1c7ba880f,Origin Gaming,ASIA
149,61ee75a7da9d7ca1c7ba5d9a,Own Goal Legends,ASIA
150,6020c736f1e4807cc704a179,Parabellum Esports,ASIA
151,61daf0a0c437fde7e02cb842,Penguin Cartel,ASIA
152,60705bee3960ddb316ab76d6,Pineapple Cake,ASIA
153,61f90aafda9d7ca1c7ba73c2,Ponpoko Kickers,ASIA
154,6161a3d9143c37878b238953,Power of Yogurt,ASIA
155,61f90b10c437fde7e02ceeb3,Prickets,ASIA
156,6020c21af1e4807cc7027254,Pulse Clan,ASIA
157,6189538cf8090ec74528ba23,Pumpkings,ASIA
158,61daf0a5c437fde7e02cb843,QWERTY,ASIA
159,616da4fb143c37878b239d49,RESOLUTE,ASIA
160,60be06da490bd8649dd30736,RFLM,ASIA
161,61e54b82c437fde7e02cc943,RhyThM,ASIA
162,621c9aa7da9d7ca1c7ba93f0,RiceBread,ASIA
163,616da4ea143c37878b239d47,Rocket Kickers,ASIA
164,6161a3c3143c37878b238952,Royal Taxi,ASIA
165,61cee7fdda9d7ca1c7ba3b0c,SHIROGANE,ASIA
166,616da481f8090ec745288672,Screaaam!,ASIA
167,616063ef143c37878b2387ae,ScubaDrivers,ASIA
168,61794a27143c37878b23ad8e,Sharma Ji Ka Team,ASIA
169,6160641d143c37878b2387b2,Shoguns,ASIA
170,6161a42a143c37878b238955,Sink n Blink,ASIA
171,61daf05fc437fde7e02cb83f,Slot Machine,ASIA
172,61ee75bbda9d7ca1c7ba5d9c,Slum Gums,ASIA
173,618953b3143c37878b23cf90,Soy Sauce,ASIA
174,616da4c4143c37878b239d43,Spirits of gamer,ASIA
175,60bbc8826dcdb413cff6497f,Sylphide,ASIA
176,60be05759fc1a47e5f111390,Team Alke,ASIA
177,6160642e143c37878b2387b4,Team Atelier,ASIA
178,61671902143c37878b238ed5,Team Celestial,ASIA
179,61daf0bdc437fde7e02cb845,Team Euphraxia,ASIA
180,607d7d99473f172e4c0d3973,Team GanDerS,ASIA
181,620a45b7c437fde7e02cff1e,Team Go-No-Go,ASIA
182,620a45bfc437fde7e02cff1f,Team Grandpas,ASIA
183,61daf081da9d7ca1c7ba3d58,Team India,ASIA
184,61e7d873da9d7ca1c7ba535f,Team Inherits,ASIA
185,616da709143c37878b239d4e,Team Inherits Macro,ASIA
186,616da44f143c37878b239d41,Team Inherits Micro,ASIA
